"District","Mandal","School.UDISE.Code","School.Name","Enrollment","School_Category"
"KRISHNA","NIDUMOLU",28163000611,"ZPHS NIDUMOLU",317,"7-Upper Pr. and Secondary"
"WEST GODAVARI","ELAMANCHILI",28154400703,"ZPHS, SIRAGALAPALLE",223,"7-Upper Pr. and Secondary"
"EAST GODAVARI","K.GANGAVARAM",28144500401,"MPPS PANINGAPALLI",94,"1-Primary"
"GUNTUR","LAKKARAJU GARLAPADU",28171501903,"ZPHS L GARLAPADU",388,"7-Upper Pr. and Secondary"
"GUNTUR","KOMERAPUDI",28171501805,"ZPHS KOMERAPUDI",503,"7-Upper Pr. and Secondary"
"GUNTUR","DHULIPALLA",28171501103,"ZPHS DHULLIPALLA",248,"7-Upper Pr. and Secondary"
"GUNTUR","GUDIPUDI",28171501505,"ZPHS GUDIPUDI",154,"7-Upper Pr. and Secondary"
"GUNTUR","NANDIGAMA",28171501405,"ZPHS NANDIGAMA",230,"7-Upper Pr. and Secondary"
"GUNTUR","KATTAMURU",28171500405,"ZPHS KATTAMURU",253,"7-Upper Pr. and Secondary"
"GUNTUR","RENTAPALLA",28171500303,"ZPHS RENTAPALLA",308,"7-Upper Pr. and Secondary"
"GUNTUR","SATTENAPALLE",28171590930,"ZPHS SATTENAPALLI(S)",525,"7-Upper Pr. and Secondary"
"GUNTUR","KUNKALAGUNTA",28172200906,"ZPHS KUNKALAGUNTA",458,"7-Upper Pr. and Secondary"
"GUNTUR","CHALLAGUNDLA",28172200506,"ZPHS CHALLAGUNDLA",140,"7-Upper Pr. and Secondary"
"GUNTUR","SVSR ZPHS CHEJARLA",28172201003,"SVSR ZPHS CHEJARLA",229,"7-Upper Pr. and Secondary"
"GUNTUR","NEMALIPURI",28171600109,"ZPHS NEMALIPURI",270,"7-Upper Pr. and Secondary"
"GUNTUR","KUBADPURAM(ANUPALEM)",28171600213,"ZPHS KOTANEMALIPURI",176,"7-Upper Pr. and Secondary"
"GUNTUR","UPPALAPADU",28171600812,"ZPHS INIMETLA",221,"7-Upper Pr. and Secondary"
"GUNTUR","MADALA",28172300310,"ZPHS MADALA",648,"7-Upper Pr. and Secondary"
"GUNTUR","DAMMALAPADU",28172300505,"ZPHS DAMMALAPADU",238,"7-Upper Pr. and Secondary"
"GUNTUR","BOLLAVARAM",28172300402,"ZPHS BOLLAVARAM",47,"7-Upper Pr. and Secondary"
"EAST GODAVARI","K.GANGAVARAM",28144500205,"ZPHS PAMARRU",480,"7-Upper Pr. and Secondary"
"KADAPA","PRODDUTUR",28201500404,"ZPHSDORASANI PALLI",579,"7-Upper Pr. and Secondary"
"CHITTOOR","Punganul",28233700206,"ZPHS Edigepalli ",301,"7-Upper Pr. and Secondary"
"WEST GODAVARI","RANGAPURAM",28151001504,"ZPHS RANGAPURAM",482,"7-Upper Pr. and Secondary"
"WEST GODAVARI","KAMAVARAPUKOTA",28151101112,"ZPHS KAMAVARAPUKOTA",815,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Munagapaka",28133401407,"ZPHS MUNAGAPAKA",503,"7-Upper Pr. and Secondary"
"EAST GODAVARI","Ambajipeta",28144801115,"ZPHS AMBAJIPETA",610,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","GOLUGONDA",28131500501,"MPPS K D PETA",127,"1-Primary"
"KURNOOL","KURNOOL",28210791184,"INDIRA GANDHI MEMO MCHS, A.CAMP, KURNOOL",1160,"7-Upper Pr. and Secondary"
"KURNOOL","KURNOOL",28210791186,"B.R AMBEDKAR MEMO MCHS, JOHARAPURAM, KURNOOL",421,"7-Upper Pr. and Secondary"
"GUNTUR","MEDIKONDURU",28172500309,"ZPHS SIRIPURAM",531,"7-Upper Pr. and Secondary"
"PRAKASAM","CHIMAKURTHI",28182900302,"MPPS PALLAMALLI",109,"1-Primary"
"EAST GODAVARI","ATREYAPURAM",28144300402,"MPUPS VADDIPARRU",111,"2-Primary with Upper Primary"
"PRAKASAM","MADDIPADU",28182802002,"MPPS YEDUGUNDLAPADU(M)",19,"1-Primary"
"PRAKASAM","MADDIPADU",28182802003,"MPPS YEDUGUNDLAPADU KMP",30,"1-Primary"
"KURNOOL","ALUR",28212501409,"GOVT.HS(BOYS-1) ALUR",453,"7-Upper Pr. and Secondary"
"KURNOOL","ALUR",28212501404,"MPPS 4TH WARD",157,"1-Primary"
